epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.156,1.99091,1.43619,1.00714,0.90423,0.83998,0.88957,0.39779,1.83244,1.1442,1.0076,0.000330827,0.000330827,0.0672481
2,271.06,1.99499,1.45508,1.01542,0.90845,0.82701,0.89275,0.40273,1.78385,1.16112,0.99655,0.000657585,0.000657585,0.0342415
3,403.056,1.99184,1.41591,1.01674,0.90851,0.82479,0.88914,0.38999,1.86483,1.1746,1.0102,0.000977743,0.000977743,0.00122837
4,531.018,1.9969,1.42613,1.0293,0.8873,0.81714,0.87796,0.37104,1.91757,1.20875,1.02337,0.0009703,0.0009703,0.0009703
5,659.232,2.00574,1.44556,1.01091,0.91064,0.82372,0.87663,0.37155,1.87476,1.22392,1.01832,0.0009604,0.0009604,0.0009604
6,788.096,1.97633,1.45142,1.01304,0.92093,0.81345,0.87931,0.38736,1.8525,1.2019,1.01604,0.0009505,0.0009505,0.0009505
7,923.862,1.97941,1.426,1.01723,0.90552,0.79937,0.87583,0.3949,1.81201,1.21902,1.00553,0.0009406,0.0009406,0.0009406
8,1065.42,1.99178,1.45189,1.01551,0.90884,0.81441,0.87888,0.39003,1.84544,1.17535,1.01362,0.0009307,0.0009307,0.0009307
9,1189.85,1.93513,1.38912,1.01697,0.90671,0.84267,0.89286,0.39523,1.81435,1.16869,1.00704,0.0009208,0.0009208,0.0009208
10,1313.73,1.92608,1.38083,1.00551,0.90232,0.81074,0.87826,0.38205,1.87603,1.2017,1.01687,0.0009109,0.0009109,0.0009109
11,1440.57,1.94476,1.38093,1.0045,0.9266,0.83391,0.89712,0.3941,1.86,1.17923,1.00828,0.000901,0.000901,0.000901
12,1564.33,1.92408,1.36439,0.99585,0.93174,0.81955,0.8927,0.38199,1.85588,1.16713,1.01572,0.0008911,0.0008911,0.0008911
