epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.117,1.97615,1.32465,1.01248,0.95406,0.87097,0.93284,0.41224,1.82488,1.0249,1.00718,0.000330827,0.000330827,0.0672481
2,277.085,1.92291,1.27966,0.99818,0.9359,0.88577,0.92776,0.41125,1.83042,1.02624,1.00794,0.000657585,0.000657585,0.0342415
3,409.241,1.96987,1.3205,1.01349,0.92959,0.87169,0.92859,0.40346,1.85373,1.06024,1.01559,0.000977743,0.000977743,0.00122837
4,537.557,1.99368,1.33403,1.00196,0.92512,0.86939,0.91742,0.38466,1.90479,1.08765,1.02167,0.0009703,0.0009703,0.0009703
5,661.511,1.95868,1.32739,0.99308,0.92444,0.8823,0.91887,0.39901,1.84716,1.05789,1.01287,0.0009604,0.0009604,0.0009604
6,784.421,1.94391,1.30772,1.00768,0.93306,0.85428,0.91703,0.37662,1.94192,1.08236,1.02821,0.0009505,0.0009505,0.0009505
7,907.046,1.96094,1.34738,1.00352,0.91933,0.86564,0.91681,0.40245,1.84357,1.08396,1.00996,0.0009406,0.0009406,0.0009406
8,1032.34,1.95633,1.34504,1.00139,0.93022,0.84506,0.91949,0.40566,1.83586,1.07432,1.00877,0.0009307,0.0009307,0.0009307
9,1160.66,1.94206,1.30409,0.99689,0.9269,0.85691,0.91889,0.40005,1.8801,1.07348,1.02031,0.0009208,0.0009208,0.0009208
10,1323.4,1.93323,1.32252,1.01441,0.90777,0.87258,0.91689,0.3901,1.89668,1.0675,1.02434,0.0009109,0.0009109,0.0009109
11,1480.5,1.94425,1.33205,0.99022,0.92602,0.88662,0.92486,0.41588,1.80455,1.03593,1.00219,0.000901,0.000901,0.000901
12,1620.97,1.92227,1.29741,0.99651,0.94117,0.89472,0.93155,0.41622,1.83257,1.03211,1.0035,0.0008911,0.0008911,0.0008911
13,1759.49,1.9057,1.30068,0.99721,0.92767,0.88993,0.92683,0.40238,1.85279,1.03763,1.01799,0.0008812,0.0008812,0.0008812
14,1895.63,1.89741,1.27125,0.99415,0.93762,0.87898,0.93512,0.39823,1.87961,1.0466,1.02078,0.0008713,0.0008713,0.0008713
15,2025.54,1.87357,1.20261,0.99252,0.92103,0.88651,0.93182,0.41149,1.83084,1.01754,1.01,0.0008614,0.0008614,0.0008614
16,2153.28,1.89232,1.25333,0.98324,0.94151,0.87528,0.93285,0.41162,1.85768,1.02911,1.01419,0.0008515,0.0008515,0.0008515
17,2281.38,1.91892,1.25062,0.99224,0.93413,0.88385,0.93096,0.4138,1.81265,1.0263,1.00035,0.0008416,0.0008416,0.0008416
18,2424.02,1.8645,1.23258,0.97985,0.94928,0.89103,0.93928,0.41947,1.81875,1.00603,1.00741,0.0008317,0.0008317,0.0008317
19,2550.64,1.87613,1.24265,0.98694,0.95257,0.87647,0.94015,0.41399,1.83938,1.02887,1.00723,0.0008218,0.0008218,0.0008218
20,2676.65,1.88959,1.22884,0.98662,0.94105,0.87786,0.93346,0.40303,1.85476,1.03857,1.01369,0.0008119,0.0008119,0.0008119
21,2802.92,1.87717,1.23486,0.98468,0.94866,0.87467,0.93933,0.41501,1.81258,1.00303,1.00557,0.000802,0.000802,0.000802
22,2928.54,1.85502,1.22434,0.99,0.91996,0.89237,0.9293,0.39906,1.86293,1.02369,1.015,0.0007921,0.0007921,0.0007921
23,3055.49,1.88129,1.22895,0.99234,0.94699,0.87041,0.93482,0.39709,1.85862,1.02571,1.0116,0.0007822,0.0007822,0.0007822
24,3214.51,1.88061,1.20149,0.98005,0.92749,0.89847,0.93188,0.39585,1.88347,1.0184,1.01385,0.0007723,0.0007723,0.0007723
25,3364.73,1.85556,1.21774,0.9715,0.9092,0.90735,0.93414,0.38956,1.87891,1.02693,1.01425,0.0007624,0.0007624,0.0007624
26,4105.19,1.85547,1.22481,0.9823,0.92868,0.90348,0.94541,0.40476,1.85736,1.00169,1.0082,0.0007525,0.0007525,0.0007525
27,4220.31,1.82027,1.18023,0.97197,0.9265,0.90135,0.94281,0.40993,1.84568,0.99687,1.0103,0.0007426,0.0007426,0.0007426
28,4336.04,1.83808,1.1961,0.97457,0.92404,0.90415,0.93609,0.40789,1.86193,1.00013,1.01088,0.0007327,0.0007327,0.0007327
