epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.128,2.00029,1.38998,1.00882,0.94837,0.85608,0.90455,0.41791,1.75127,1.0249,0.99349,0.000330827,0.000330827,0.0672481
2,239.346,1.96186,1.32696,0.99708,0.93924,0.85782,0.91629,0.41843,1.75462,1.01225,0.99157,0.000657585,0.000657585,0.0342415
3,358.211,1.95453,1.34261,1.00494,0.92325,0.84423,0.90514,0.41394,1.76052,1.05883,0.99479,0.000977743,0.000977743,0.00122837
4,477.703,1.97165,1.33686,1.00689,0.91772,0.85169,0.91378,0.40415,1.80242,1.07836,1.00244,0.0009703,0.0009703,0.0009703
5,596.738,1.94804,1.31654,1.00332,0.91833,0.86444,0.90003,0.40824,1.79721,1.05722,1.0069,0.0009604,0.0009604,0.0009604
6,715.531,1.95921,1.33748,1.01189,0.90694,0.85322,0.9005,0.3952,1.82306,1.06801,1.0082,0.0009505,0.0009505,0.0009505
7,835.354,1.96041,1.34763,1.00875,0.90393,0.86718,0.90334,0.41291,1.81092,1.03425,1.00605,0.0009406,0.0009406,0.0009406
8,955.506,1.95691,1.31507,0.99729,0.90546,0.84195,0.90978,0.4126,1.78662,1.04245,1.00229,0.0009307,0.0009307,0.0009307
9,1075.65,1.91344,1.27113,0.9914,0.91892,0.86495,0.91693,0.41294,1.78199,1.05036,0.99796,0.0009208,0.0009208,0.0009208
10,1196.41,1.89947,1.2707,0.99957,0.92564,0.83481,0.90921,0.40272,1.8335,1.08145,1.00625,0.0009109,0.0009109,0.0009109
11,1315.76,1.91612,1.28407,0.98384,0.90285,0.86933,0.9167,0.39956,1.83367,1.05133,1.0101,0.000901,0.000901,0.000901
12,1461.59,1.92716,1.28144,0.99838,0.91401,0.8591,0.90738,0.40962,1.78069,1.041,0.99632,0.0008911,0.0008911,0.0008911
