epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2036.28,2.15443,2.1975,1.09405,0.66325,0.61189,0.64203,0.26965,2.05098,2.00513,1.07245,0.0008515,0.0008515,0.0008515
17,2159.75,2.18347,2.25125,1.07638,0.72215,0.63406,0.6759,0.2715,2.0729,1.91342,1.07852,0.0008416,0.0008416,0.0008416
18,2288.44,2.14442,2.12505,1.08136,0.77194,0.64093,0.70554,0.29642,2.03193,1.87621,1.06582,0.0008317,0.0008317,0.0008317
19,2417.29,2.14751,2.11928,1.0744,0.77247,0.63057,0.7006,0.29218,2.04629,1.91007,1.0719,0.0008218,0.0008218,0.0008218
20,2545.8,2.08532,1.99989,1.06786,0.75601,0.65358,0.71045,0.30088,2.01299,1.82181,1.05698,0.0008119,0.0008119,0.0008119
21,2674.9,2.11251,1.99923,1.06993,0.85213,0.64287,0.72824,0.30744,1.99327,1.78583,1.05331,0.000802,0.000802,0.000802
22,2807.08,2.09564,1.95333,1.06187,0.83743,0.65987,0.73271,0.29525,2.05382,1.76389,1.0672,0.0007921,0.0007921,0.0007921
23,2941.6,2.08062,1.9001,1.05998,0.82028,0.65402,0.73089,0.29273,2.06489,1.74306,1.06334,0.0007822,0.0007822,0.0007822
24,3083.38,2.09867,1.93291,1.06884,0.80361,0.67608,0.73569,0.31804,1.99318,1.71151,1.04946,0.0007723,0.0007723,0.0007723
25,3225.13,2.08432,1.90176,1.05397,0.81701,0.69326,0.75734,0.32428,1.98398,1.6621,1.05226,0.0007624,0.0007624,0.0007624
26,3367.39,2.07863,1.85992,1.05601,0.80689,0.72667,0.77029,0.33038,1.96118,1.64189,1.03735,0.0007525,0.0007525,0.0007525
27,3510.15,2.02724,1.80924,1.04042,0.80504,0.73142,0.77792,0.32992,1.99173,1.61801,1.04883,0.0007426,0.0007426,0.0007426
28,3666.72,2.03044,1.76698,1.04793,0.87217,0.694,0.77715,0.32372,1.98973,1.63478,1.05063,0.0007327,0.0007327,0.0007327
29,3825.36,2.04432,1.75788,1.0341,0.84763,0.70695,0.78963,0.34955,1.93564,1.59062,1.0381,0.0007228,0.0007228,0.0007228
30,3981.84,2.0118,1.74087,1.04765,0.86185,0.71705,0.7896,0.3396,1.97986,1.55759,1.04777,0.0007129,0.0007129,0.0007129
31,4136.03,2.02322,1.73717,1.03983,0.86983,0.72511,0.811,0.35423,1.9346,1.54318,1.03609,0.000703,0.000703,0.000703
32,4289.24,2.00657,1.69721,1.04445,0.8603,0.73646,0.81362,0.36149,1.92634,1.5322,1.03388,0.0006931,0.0006931,0.0006931
33,4442.84,1.96569,1.67343,1.02067,0.86307,0.74339,0.80926,0.34848,1.98195,1.54478,1.0524,0.0006832,0.0006832,0.0006832
34,4581.08,1.96936,1.65105,1.04267,0.84767,0.74458,0.79804,0.33224,2.03571,1.52857,1.06646,0.0006733,0.0006733,0.0006733
35,4714.35,1.98884,1.63322,1.04083,0.86411,0.71732,0.79926,0.34303,1.97107,1.52462,1.04157,0.0006634,0.0006634,0.0006634
36,4846.71,1.96106,1.63433,1.02642,0.86588,0.74176,0.81634,0.35989,1.93766,1.47917,1.03328,0.0006535,0.0006535,0.0006535
37,4998.31,1.94735,1.5791,1.03439,0.88356,0.74508,0.81432,0.34446,2.00557,1.4843,1.05376,0.0006436,0.0006436,0.0006436
38,5132.17,1.91218,1.54343,1.0254,0.85554,0.74204,0.804,0.33992,1.9762,1.51013,1.04127,0.0006337,0.0006337,0.0006337
39,5263.18,1.95665,1.61863,1.02946,0.87521,0.73189,0.81206,0.35668,1.94218,1.46571,1.03804,0.0006238,0.0006238,0.0006238
40,5394.35,1.96064,1.60085,1.01311,0.90258,0.74152,0.82039,0.34543,2.02057,1.49069,1.05938,0.0006139,0.0006139,0.0006139
41,5524.26,1.92168,1.53547,1.03154,0.8502,0.75045,0.81527,0.3455,2.00746,1.46848,1.05159,0.000604,0.000604,0.000604
42,5653.69,1.92134,1.5413,1.0224,0.87199,0.75972,0.8332,0.37173,1.93321,1.42544,1.03373,0.0005941,0.0005941,0.0005941
43,5782.4,1.91823,1.54117,1.0187,0.88015,0.78145,0.83498,0.37304,1.93715,1.39461,1.03397,0.0005842,0.0005842,0.0005842
44,5914.39,1.92687,1.50269,1.00882,0.88751,0.76499,0.83948,0.35851,1.96379,1.41502,1.04229,0.0005743,0.0005743,0.0005743
45,6047.56,1.92341,1.50352,1.00787,0.87343,0.76162,0.81751,0.35299,1.9709,1.42484,1.03528,0.0005644,0.0005644,0.0005644
46,6176.5,1.91666,1.50752,1.01353,0.89157,0.76726,0.83864,0.36241,1.97581,1.42863,1.041,0.0005545,0.0005545,0.0005545
47,6306.62,1.90008,1.49359,1.00389,0.85229,0.77754,0.82562,0.35218,1.97734,1.40395,1.03906,0.0005446,0.0005446,0.0005446
48,6439.88,1.88507,1.47971,1.00916,0.87786,0.75655,0.83454,0.37088,1.94197,1.37977,1.03138,0.0005347,0.0005347,0.0005347
49,6589.2,1.8923,1.48789,1.01987,0.88802,0.76577,0.82368,0.35712,1.96245,1.38788,1.03338,0.0005248,0.0005248,0.0005248
50,6725.01,1.90944,1.52097,1.00645,0.8889,0.78027,0.84609,0.37275,1.92673,1.38125,1.02787,0.0005149,0.0005149,0.0005149
51,6849.33,1.87841,1.45419,1.00511,0.90104,0.79645,0.85324,0.36865,1.95423,1.33503,1.04004,0.000505,0.000505,0.000505
52,6999.06,1.85477,1.42716,1.00495,0.90776,0.78362,0.85547,0.37638,1.95785,1.35175,1.03252,0.0004951,0.0004951,0.0004951
53,7139.64,1.88437,1.45755,1.01738,0.89556,0.78375,0.84499,0.35734,1.9735,1.35344,1.03739,0.0004852,0.0004852,0.0004852
54,7263.82,1.89372,1.42399,1.00976,0.88612,0.78857,0.84803,0.35962,1.98726,1.37461,1.03652,0.0004753,0.0004753,0.0004753
55,7387.25,1.86403,1.43163,1.009,0.89932,0.78174,0.85233,0.37997,1.92224,1.32178,1.0244,0.0004654,0.0004654,0.0004654
56,7513.13,1.91867,1.48125,1.00022,0.88246,0.79063,0.84715,0.37024,1.94761,1.35502,1.03296,0.0004555,0.0004555,0.0004555
57,7638.55,1.8834,1.41868,0.99836,0.88987,0.78652,0.84791,0.38008,1.91148,1.33668,1.02565,0.0004456,0.0004456,0.0004456
58,7763.05,1.87353,1.40182,1.00681,0.88357,0.78845,0.84624,0.37079,1.94648,1.33757,1.0334,0.0004357,0.0004357,0.0004357
59,7887.1,1.82692,1.38717,0.98733,0.89315,0.79437,0.84636,0.37427,1.92025,1.31974,1.02062,0.0004258,0.0004258,0.0004258
60,8012.32,1.85644,1.39322,1.00065,0.89019,0.80968,0.8599,0.38742,1.89358,1.30577,1.0189,0.0004159,0.0004159,0.0004159
61,8140,1.8768,1.40375,0.98777,0.89255,0.80932,0.86008,0.36707,1.94904,1.34245,1.02957,0.000406,0.000406,0.000406
62,8269.29,1.84512,1.38878,0.99687,0.91914,0.80201,0.85947,0.38337,1.90639,1.31085,1.02406,0.0003961,0.0003961,0.0003961
63,8394.66,1.84258,1.35347,1.00681,0.89754,0.81364,0.8577,0.38135,1.93284,1.29479,1.02907,0.0003862,0.0003862,0.0003862
64,8519.83,1.83823,1.37101,0.99372,0.90487,0.80788,0.86147,0.3753,1.9471,1.2904,1.02958,0.0003763,0.0003763,0.0003763
65,8643.9,1.85699,1.34587,0.98165,0.92257,0.78252,0.85569,0.37582,1.94344,1.29839,1.02216,0.0003664,0.0003664,0.0003664
66,8767.31,1.82377,1.35956,0.98524,0.9142,0.81054,0.87049,0.39524,1.88568,1.27027,1.01204,0.0003565,0.0003565,0.0003565
67,8891.17,1.83728,1.34838,0.98478,0.88379,0.81858,0.86205,0.37957,1.94375,1.28433,1.02628,0.0003466,0.0003466,0.0003466
68,9015.02,1.84046,1.37788,0.98152,0.92216,0.81037,0.87234,0.39216,1.89228,1.26885,1.01194,0.0003367,0.0003367,0.0003367
69,9139.18,1.8021,1.32712,0.98794,0.9036,0.8116,0.86691,0.37534,1.95296,1.29194,1.02671,0.0003268,0.0003268,0.0003268
70,9263.24,1.80221,1.3622,0.99158,0.92667,0.79545,0.8688,0.38538,1.92172,1.2796,1.0215,0.0003169,0.0003169,0.0003169
71,9386.93,1.81763,1.32989,0.98937,0.92358,0.80853,0.87495,0.39063,1.89548,1.26921,1.01401,0.000307,0.000307,0.000307
72,9509.96,1.78633,1.30562,0.98691,0.9185,0.79229,0.86708,0.3896,1.90118,1.26198,1.01857,0.0002971,0.0002971,0.0002971
73,9638.48,1.84023,1.36769,0.98064,0.91899,0.82011,0.87971,0.40169,1.87656,1.2482,1.01108,0.0002872,0.0002872,0.0002872
74,9760.61,1.82911,1.34641,0.98359,0.90546,0.81165,0.86918,0.38407,1.91525,1.26137,1.01853,0.0002773,0.0002773,0.0002773
75,9883.52,1.81357,1.34856,0.97599,0.91037,0.82764,0.88206,0.392,1.89338,1.23996,1.01699,0.0002674,0.0002674,0.0002674
76,10009.3,1.80879,1.31474,0.98164,0.92943,0.79805,0.87912,0.39835,1.8892,1.2389,1.01453,0.0002575,0.0002575,0.0002575
77,10133,1.80582,1.32043,0.9802,0.92476,0.82089,0.88069,0.3949,1.89798,1.23706,1.01425,0.0002476,0.0002476,0.0002476
78,10255.7,1.80699,1.30206,0.98834,0.92463,0.80492,0.86854,0.38053,1.92826,1.26182,1.01786,0.0002377,0.0002377,0.0002377
79,10377.7,1.79411,1.30338,0.9784,0.91539,0.81236,0.87276,0.38485,1.92473,1.24906,1.01996,0.0002278,0.0002278,0.0002278
80,10500.9,1.81922,1.30921,0.9804,0.93183,0.81545,0.87675,0.3945,1.905,1.23854,1.01527,0.0002179,0.0002179,0.0002179
81,10634.1,1.77542,1.28078,0.97239,0.90653,0.8202,0.87739,0.39464,1.89061,1.24208,1.01206,0.000208,0.000208,0.000208
82,10763.5,1.79416,1.27867,0.97402,0.90708,0.82792,0.88125,0.40184,1.88043,1.22215,1.01021,0.0001981,0.0001981,0.0001981
83,10886.3,1.77223,1.24151,0.98569,0.92686,0.81054,0.88141,0.40325,1.86756,1.21994,1.00845,0.0001882,0.0001882,0.0001882
84,11019,1.77972,1.29131,0.97927,0.93721,0.81341,0.88321,0.39694,1.90691,1.21836,1.01461,0.0001783,0.0001783,0.0001783
85,11176.6,1.78034,1.25189,0.97608,0.93374,0.817,0.87899,0.39454,1.90212,1.22239,1.0134,0.0001684,0.0001684,0.0001684
86,11314.1,1.77406,1.27616,0.97964,0.93187,0.81511,0.87911,0.38898,1.90818,1.21819,1.01271,0.0001585,0.0001585,0.0001585
87,11450,1.77825,1.288,0.97662,0.94277,0.82032,0.88182,0.39927,1.8967,1.20543,1.01394,0.0001486,0.0001486,0.0001486
88,11603.8,1.79033,1.27542,0.98162,0.924,0.80639,0.87454,0.38686,1.91315,1.23643,1.01418,0.0001387,0.0001387,0.0001387
89,11777.2,1.74862,1.26056,0.97445,0.93358,0.81025,0.88102,0.39744,1.88595,1.2182,1.01066,0.0001288,0.0001288,0.0001288
90,11913.1,1.76228,1.26687,0.97156,0.92972,0.81674,0.88236,0.40263,1.86235,1.20255,1.00557,0.0001189,0.0001189,0.0001189
91,12048,1.72291,1.2735,0.98699,0.91813,0.79483,0.8613,0.38594,1.8918,1.28665,1.01003,0.000109,0.000109,0.000109
92,12182.2,1.74539,1.25156,0.99626,0.90486,0.79421,0.86426,0.38478,1.89739,1.2834,1.01016,9.91e-05,9.91e-05,9.91e-05
93,12315.2,1.71316,1.21173,0.99576,0.89891,0.79477,0.8558,0.38013,1.90269,1.27715,1.01065,8.92e-05,8.92e-05,8.92e-05
