epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.84,3.80315,6.61613,2.02882,0,0,0,0,3.34553,6.08702,1.70409,0.000330827,0.000330827,0.0672481
2,273.653,3.35749,5.67503,1.59742,2e-05,0.00292,0,0,2.8703,5.41505,1.39431,0.000657585,0.000657585,0.0342415
3,399.344,2.97225,5.16567,1.40895,0.00075,0.10965,0.00668,0.0031,2.6416,5.07894,1.31326,0.000977743,0.000977743,0.00122837
4,529.595,2.71068,4.75514,1.27805,0.92827,0.05998,0.07416,0.02982,2.53846,4.67569,1.24986,0.0009703,0.0009703,0.0009703
5,654.541,2.62801,4.21725,1.25401,0.23582,0.22754,0.1823,0.06895,2.53984,3.81349,1.26207,0.0009604,0.0009604,0.0009604
6,781.886,2.58108,3.70291,1.23641,0.3009,0.28351,0.2302,0.09284,2.39531,3.41849,1.19827,0.0009505,0.0009505,0.0009505
7,907.18,2.48354,3.39049,1.19775,0.35279,0.32938,0.28172,0.10837,2.32309,3.04274,1.17004,0.0009406,0.0009406,0.0009406
8,1034.47,2.42033,3.12735,1.17806,0.36862,0.37531,0.32702,0.1292,2.29078,2.83527,1.14941,0.0009307,0.0009307,0.0009307
9,1161.59,2.36412,2.95497,1.14271,0.38882,0.41135,0.37899,0.15988,2.19383,2.64446,1.11844,0.0009208,0.0009208,0.0009208
10,1287.59,2.30438,2.7657,1.13816,0.46123,0.48067,0.40793,0.15911,2.27824,2.47694,1.14972,0.0009109,0.0009109,0.0009109
11,1413.18,2.27822,2.6658,1.12188,0.48622,0.50275,0.45202,0.18661,2.15104,2.39575,1.10739,0.000901,0.000901,0.000901
12,1538.88,2.28637,2.58638,1.12663,0.54834,0.50589,0.51644,0.21491,2.08082,2.29918,1.08693,0.0008911,0.0008911,0.0008911
13,1663.99,2.18813,2.42733,1.08382,0.55226,0.56179,0.5508,0.22343,2.11191,2.232,1.09199,0.0008812,0.0008812,0.0008812
14,1790.03,2.19591,2.35872,1.10837,0.67106,0.5356,0.5888,0.22992,2.16629,2.08868,1.10677,0.0008713,0.0008713,0.0008713
15,1913.39,2.20861,2.27662,1.10315,0.63207,0.55713,0.5954,0.23835,2.08661,2.08911,1.0826,0.0008614,0.0008614,0.0008614
